championName,summoner1Id,summoner2Id,kills,deaths,assists,totalMinionsKilled,item0,item1,item2,item3,item4,item5,item6,goldEarned,totalDamageDealtToChampions,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,totalDamageTaken,physicalDamageTaken,magicDamageTaken,trueDamageTaken,damageDealtToObjectives,damageSelfMitigated,totalHeal,totalHealsOnTeammates,firstBloodKill,doubleKills,tripleKills,quadrakills,pentakills,largestKillingSpree,turretsLost,turretTakedowns,teamId,win,gameEndedInEarlySurrender,gameEndedInSurrender,kda,killParticipation,goldPerMinute,damagePerMinute,teamDamagePercentage,damageTakenOnTeamPercentage,killsNearEnemyTurret,killsUnderOwnTurret,takedownsInEnemyFountain,killsOnRecentlyHealedByAramPack,firstTurretKilledTime
Kennen,4,6,5,10,20,35,3020,3152,3089,3135,1028,1052,0,11851,22678,1230,20848,599,19363,6310,11688,1364,1436,9909,1007,0,False,0,0,,,2,4,1,200,False,False,True,2.5,0.5208333333333334,632.9935563193891,1211.2439980667448,0.18547790852545787,0.18355270216025868,1.0,1.0,0.0,0.0,525.053911086528
Lillia,4,3,10,10,22,56,3020,6653,3165,3116,4637,0,0,14098,37679,636,27824,9218,36327,12370,21680,2276,1309,15044,10322,0,False,2,1,,,4,4,2,200,False,False,False,3.2,0.5818181818181818,660.2561349472269,1764.5938318053625,0.26723480825325346,0.19116267292829328,2.0,0.0,0.0,0.0,347.361394723977
Senna,6,3,12,10,24,24,3006,3042,6672,3072,1042,1042,0,13197,17293,15402,0,1890,18307,13925,2410,1971,1680,8688,6299,3093,False,1,1,,,4,0,3,200,True,False,False,3.6,0.8,780.7318287914925,1023.0446312351313,0.16061438288574525,0.17737104678570567,3.0,1.0,0.0,1.0,339.11537588655716
Kassadin,4,32,2,8,5,13,3020,6656,3070,1029,3067,1028,0,5862,5805,484,4795,525,12206,9271,2407,527,0,8073,50,0,False,0,0,,,0,2,0,200,False,False,True,0.875,0.22580645161290322,602.5367291013872,596.6367383697876,0.1703503887721815,0.26480885281243743,1.0,0.0,0.0,0.0,
TahmKench,4,32,5,12,19,24,3047,3121,3110,3066,3068,1057,0,12907,18199,1719,15086,1393,42058,21329,20113,615,1075,78591,9233,0,True,1,0,,,3,4,0,200,False,False,False,2.0,0.4067796610169492,620.2527860970789,874.5633276143064,0.14107506654656377,0.25247456674204855,2.0,0.0,0.0,0.0,366.9306179688786
Kaisa,4,3,20,12,28,51,3020,3040,6655,3102,3135,3089,0,19028,60767,6135,54157,475,29409,20841,7022,1546,2038,17159,3227,0,False,3,1,,,4,4,4,200,False,False,False,4.0,0.6233766233766234,728.3395367194003,2325.937214542479,0.24487847035910995,0.1301832535772486,4.0,2.0,0.0,0.0,
Singed,6,32,12,13,29,59,3047,6664,3143,3121,1011,4637,0,15081,25070,1219,21099,2751,43988,21035,19740,3212,0,60502,2784,393,False,3,0,,,3,4,0,200,False,False,False,3.1538461538461537,0.7735849056603774,704.2338875968293,1170.6867427432142,0.21578771086923212,0.2709463432032777,3.0,4.0,0.0,0.0,
Leblanc,4,14,14,13,16,14,3020,6656,3157,3089,4645,3067,0,15047,24647,1183,21672,1791,29329,9987,18203,1138,2359,15858,729,0,True,0,0,,,4,2,4,100,True,False,False,2.3076923076923075,0.6122448979591837,672.7292085160168,1101.8967521778686,0.18018577209813563,0.2270730910753818,4.0,6.0,0.0,1.0,430.2675506406467
Diana,4,32,6,9,11,9,3020,3152,3157,0,3916,0,2052,8497,10263,1150,8418,695,13593,7830,5161,601,1151,12073,296,0,False,0,0,,,0,1,1,100,True,False,True,1.8888888888888888,0.68,647.9669478441839,782.6201516164948,0.12622709342042943,0.2002931915083894,3.0,1.0,0.0,0.0,398.5064165483767
Diana,4,32,5,15,26,39,3047,3152,3157,3165,3067,3070,0,11435,21404,1413,19186,804,30570,15018,15302,250,0,26910,131,0,False,0,0,,,2,4,0,200,False,False,False,2.066666666666667,0.5636363636363636,606.6298481003137,1135.4611236125952,0.15596427432350365,0.18213854484067235,0.0,3.0,0.0,0.0,
Renekton,4,32,7,7,20,38,3047,2051,3211,3068,3110,3067,0,9946,14071,9271,3769,1030,23671,13154,8818,1698,993,26856,4372,0,False,1,0,,,2,0,1,100,True,False,True,3.857142857142857,0.9,701.41906452313,992.2838571425352,0.16174041707824993,0.3047245438608584,4.0,1.0,0.0,0.0,650.1358066648647
TwistedFate,4,3,1,12,11,37,3006,6672,1053,3094,0,0,0,8856,8961,4535,3842,583,17988,7527,10381,80,36,5771,1372,0,False,0,0,,,0,4,0,200,False,False,False,1.0,0.21428571428571427,584.5326675056522,591.4852421801874,0.12542311977294446,0.13952628936821526,1.0,0.0,0.0,0.0,
Hecarim,6,3,4,12,24,28,3111,6664,3742,3065,3070,3067,0,12003,26993,14887,7017,5088,47991,20327,20878,6784,548,57722,9636,249,False,0,0,,,0,4,1,200,False,False,False,2.3333333333333335,0.5714285714285714,574.3375258503357,1291.5837321437964,0.18254424860069587,0.30918309537030064,1.0,0.0,0.0,1.0,
Shaco,4,6,7,13,28,27,3111,4637,3165,6617,8020,3116,0,15954,27231,2391,24839,0,40068,10803,26104,3160,629,26964,6123,3367,False,0,0,,,2,4,1,100,False,False,False,2.6923076923076925,0.5223880597014925,594.2641089885243,1014.28461860308,0.12709787013630575,0.22721428196362115,0.0,1.0,0.0,1.0,604.5101089510139
Tryndamere,4,6,13,11,14,58,3006,6671,3140,6675,3031,0,0,16150,20228,17280,2901,45,34508,6388,27713,406,2916,35476,12582,0,False,3,0,,,3,4,4,100,True,False,False,2.4545454545454546,0.6,711.8834671638473,891.6080608458924,0.19838038382424944,0.2557539079556244,5.0,1.0,0.0,1.0,
Orianna,4,3,10,10,40,61,3020,6656,3157,3040,1058,4645,0,14581,21335,1026,19514,794,26040,12448,12429,1162,2335,21741,1855,0,False,1,1,,,4,4,3,100,False,False,False,5.0,0.9433962264150944,751.5415051673483,1099.6591441396195,0.14933873847662177,0.1784120920713235,3.0,2.0,0.0,0.0,335.5449597972127
Corki,4,32,11,12,35,48,3020,3042,6655,3156,3074,0,0,13515,32218,4214,27525,478,18722,8022,9959,740,1732,8366,646,0,False,1,0,,,2,2,2,100,True,False,False,3.8333333333333335,0.8363636363636363,753.0648490581635,1795.200231700135,0.2445869071782404,0.11135057691573186,1.0,6.0,0.0,0.0,537.1184678
Lux,4,14,4,7,40,50,3020,3112,3157,0,3040,6655,0,12649,19338,718,16787,1832,18583,8710,9698,175,1549,10972,1999,0,False,0,0,,,0,1,4,100,True,False,False,6.285714285714286,1.1,671.249586207777,1026.191182038872,0.17894557811356987,0.12596293582162096,0.0,0.0,0.0,0.0,256.4182069
Sona,4,3,3,15,57,22,3158,6617,6616,3011,3040,1058,0,15784,17189,2361,14470,357,46889,23689,21418,1781,3862,20078,27538,10221,False,0,0,,,0,4,4,200,False,False,False,4.0,0.8,645.9163197950492,703.4364132927959,0.09561709704317753,0.15133635439616483,0.0,0.0,0.0,0.0,
Shyvana,6,32,2,12,38,41,3111,3068,3748,3083,3066,0,0,13229,30244,5521,23282,1440,45385,25075,19709,600,563,49435,2700,0,False,0,0,,,0,2,0,100,True,False,False,3.3333333333333335,0.8888888888888888,633.853153580656,1449.0901396988054,0.21302435699285957,0.28722904464232035,0.0,0.0,0.0,0.0,322.80123556333086
Thresh,4,3,0,13,33,16,3047,3190,3121,3065,3024,1029,0,11013,9341,1009,8119,212,31595,20015,10770,808,669,45704,872,0,False,0,0,,,0,4,3,200,True,False,False,2.5384615384615383,0.6226415094339622,566.54657174646,993.1197028905677,0.06963624459423022,0.17277281993317228,0.0,0.0,0.0,0.0,
Volibear,4,32,3,9,19,16,3111,3068,3082,4401,1028,3112,0,9715,15287,5222,8982,1082,27762,19078,7239,1443,488,32655,1120,0,False,0,0,,,2,4,0,100,False,False,False,2.4444444444444446,0.5945945945945946,615.2250349582923,2347.5220231807157,0.21435105164739873,0.24994824514510622,1.0,1.0,0.0,0.0,
Yasuo,4,3,6,14,15,61,3006,6673,3031,3065,1031,0,0,12018,10289,9402,886,0,23786,11549,9668,2569,1056,28961,372,0,False,0,0,,,2,4,2,200,False,False,False,1.5,0.4375,646.6561693004595,3651.6869563717787,0.11079383550711049,0.18079117155001842,0.0,2.0,0.0,1.0,
Orianna,4,3,9,9,24,61,3020,6656,3102,3040,1058,3112,0,13106,18371,411,17960,0,21890,4148,16071,1670,3697,10736,2956,0,False,1,0,,,3,1,4,200,True,False,False,3.6666666666666665,0.6875,721.0149758699664,3395.5721324563583,0.14205785768999354,0.20184313187628528,2.0,3.0,0.0,0.0,
Kennen,4,32,10,10,17,39,3020,3152,1026,4629,3089,1052,0,12353,21084,1368,18181,1534,20720,8769,9840,2110,2450,11523,1170,97,False,1,0,,,3,1,2,200,True,False,False,2.7,0.7714285714285715,692.8711362679634,2829.5260133141983,0.2254923425861627,0.21676305110359992,6.0,0.0,1.0,0.0,486.8646794
MissFortune,4,3,8,9,20,115,3006,6692,3042,3036,6676,1038,0,15504,46115,39596,3335,3182,27591,14806,12328,456,2708,12200,1729,0,True,0,0,,,3,4,1,200,False,False,False,3.111111111111111,0.5833333333333334,688.7760838242574,6142.8797550072495,0.3024658178483257,0.2163579933089797,1.0,4.0,0.0,0.0,539.4982608146914
Kaisa,4,3,5,12,27,37,3020,3040,6655,4628,1058,1058,0,13191,28938,5556,23382,0,22859,15425,7265,168,2244,11785,1905,0,False,1,0,,,2,1,4,200,True,False,False,2.6666666666666665,0.6037735849056604,668.0562385319542,2859.7103222443275,0.19500622821449273,0.20049572410316677,0.0,5.0,0.0,0.0,321.93605222051616
Renekton,4,32,8,7,24,51,3047,2051,3143,8001,3068,1029,0,11976,19557,11772,6774,1011,35017,23219,9978,1819,2542,51147,6793,0,True,2,0,,,3,2,4,200,True,False,False,4.571428571428571,0.9142857142857143,703.5142485663494,3581.233665493089,0.18764891597839478,0.3041502042767293,6.0,1.0,0.0,0.0,573.8459528
Vayne,4,6,5,15,9,35,3006,6673,3091,1053,1018,0,0,9669,10868,8557,363,1947,23447,9394,13696,356,352,12058,587,0,False,0,0,,,0,4,0,200,False,False,False,0.9333333333333333,0.2222222222222222,591.9745642154329,1749.9019496873495,0.1154732288303874,0.1908391694676964,0.0,3.0,0.0,0.0,550.8393185
Thresh,4,14,3,10,28,13,3111,3190,3065,3070,2051,3109,0,11220,8335,936,6636,762,22853,7481,14204,1167,801,26045,1635,495,False,1,0,,,2,2,1,200,True,False,False,3.1,0.5849056603773585,648.6991477745852,1244.1664457341885,0.09875144421383866,0.16437287399096268,0.0,0.0,0.0,0.0,
Braum,4,3,1,6,30,4,3111,3190,3110,0,3070,3076,0,7696,3808,1369,2439,0,12122,7659,2549,1913,661,13656,264,205,False,0,0,,,0,0,4,200,True,False,False,5.166666666666667,1.4761904761904763,681.2113404209865,603.5973393260734,0.07047424639338502,0.3054694362257604,0.0,0.0,0.0,0.0,272.0576576556028
Camille,4,32,4,11,9,27,3111,6632,2051,6333,3044,1028,0,10995,16497,10391,1168,4937,31028,19517,6711,4799,859,35505,4635,0,False,1,0,,,2,4,2,200,False,False,False,1.1818181818181819,0.28888888888888886,589.5956042179774,1877.7858937302824,0.15049833737878304,0.2953260713192194,2.0,0.0,0.0,0.0,387.3665785
Leblanc,4,14,6,10,20,13,3020,6656,3135,3112,3145,0,0,10047,20508,1808,17784,916,19884,11623,7866,394,124,9851,1277,0,False,0,0,,,0,4,1,100,False,False,True,2.6,0.5416666666666666,652.6769555618497,1885.9222354168953,0.20876910628741555,0.1943163167902597,1.0,2.0,0.0,0.0,
Yasuo,4,6,18,14,24,180,3006,6673,3139,3065,3072,3031,0,22592,60807,57303,3504,0,38679,8771,21741,8166,2242,99301,2048,0,False,3,1,,,4,2,4,100,True,False,False,3.0,0.65625,770.6229497048563,7902.422427162284,0.26429138083667303,0.16504373143778406,5.0,2.0,0.0,0.0,285.6891515
Draven,4,6,5,7,9,60,3006,6692,6676,3086,2015,0,0,9932,12253,11437,815,0,12514,5140,7014,358,790,5857,821,0,False,0,0,,,0,4,1,200,False,False,False,2.0,0.45161290322580644,743.6201667222716,3448.4999977292373,0.28788304980828044,0.1979722640600153,0.0,4.0,0.0,0.0,
Caitlyn,4,3,17,9,22,80,3006,6673,3072,3031,3046,0,0,15154,25883,24880,372,630,17645,5945,9983,1716,6299,15600,258,0,False,3,0,,,3,1,4,200,True,False,True,4.333333333333333,0.9285714285714286,851.0764365570557,5145.498286493529,0.21748471921542314,0.16540022246720298,5.0,2.0,0.0,0.0,
Caitlyn,4,3,5,12,21,38,3006,6671,3046,3031,1036,0,0,11305,18844,17442,1401,0,20998,12139,8699,160,2305,8667,1087,0,False,0,0,,,2,4,2,100,False,False,False,2.1666666666666665,0.52,595.9171548336747,2573.94210195319,0.17157379816654134,0.15093754776353402,3.0,1.0,0.0,0.0,369.3658296
Tryndamere,4,6,9,13,21,55,3006,6671,3031,6675,3046,1028,0,14639,17238,14975,2262,0,32131,18388,13184,557,2120,35745,7689,0,False,0,0,,,2,2,3,100,True,False,False,2.3076923076923075,0.5660377358490566,702.0822438729888,2973.6480573689432,0.13134208209119713,0.24224723104376858,3.0,0.0,0.0,0.0,261.5535372558203
Annie,4,14,12,14,17,47,3158,3089,3157,3040,1033,6655,0,16364,28322,636,24844,2842,28923,9127,17764,2032,2598,13667,2957,0,False,2,0,,,2,4,3,200,True,False,False,2.0714285714285716,0.4142857142857143,671.7167189264246,3333.512839660442,0.20999833197084766,0.16902148014889765,4.0,0.0,0.0,0.0,374.8536739372821
Jayce,4,14,10,8,17,60,3111,3142,3133,3042,0,6691,0,11622,28570,24850,2882,838,13719,4813,8532,372,915,8982,416,0,False,0,0,,,2,2,1,200,False,False,True,3.375,0.6136363636363636,729.9146785897182,4240.791967772068,0.32608120663261947,0.13739875049955244,5.0,1.0,0.0,1.0,624.7426260331537
Shyvana,6,32,4,3,11,22,3111,2031,2051,3068,0,0,2052,6184,5891,1061,3151,1678,10443,4076,5018,1348,268,7828,1873,0,False,1,0,,,3,0,1,100,True,False,True,5.0,1.5,711.9413314615878,2177.5220607609676,0.19227942645676396,0.3483203516335073,0.0,2.0,0.0,1.0,478.2127786884498
